"","do.call.rbind..nnpark..1...","do.call.rbind..nnpark..2..."
"550",45,4199248.70028148
"551",45,4199248.7004269
"552",45,4199248.70045736
"553",45,4199248.70039751
"554",45,4199248.70049282
"555",45,4199248.70052191
"556",45,4199248.70046383
"557",45,4199248.70055295
"558",45,4199248.70052011
"559",45,4199248.70057948
"560",45,4199248.70088387
"561",45,4199248.7008184
"562",45,4199248.70087911
"563",45,4199248.70091488
"564",45,4199248.70104509
"565",45,4199248.70094799
"566",45,4199248.70109617
"567",45,4199248.70097737
"568",45,4199248.70100988
"569",45,4199248.70116014
"570",45,4199248.70121251
"571",45,4199248.70957761
"572",45,4199248.70965595
"573",45,4199248.70963027
"574",45,4199248.70970144
"575",45,4199248.70975696
"576",45,4199248.71012848
"577",45,4199248.71015557
"578",45,4199248.72059072
"579",45,4199248.72048666
"580",45,4199248.72064869
"581",45,4199248.72054668
"582",45,4199248.72060347
"583",45,4199248.72070449
"584",45,4199248.72075897
"585",45,4199248.72097671
"586",45,4199248.72103311
"587",45,4199248.72108648
"588",45,4199248.72108841
"589",45,4199248.72111762
"590",45,4199248.72115259
"591",45,4199248.72115159
"592",45,4199248.72119279
"593",45,4199248.72123129
"594",45,4199248.72126519
"595",45,4199248.68397876
"596",45,4199248.68408886
"597",45,4199248.68402786
"598",45,4199248.68413376
"599",45,4199248.68407422
"600",45,4199248.68420015
"601",45,4199248.68413698
"602",45,4199248.684596
"603",45,4199248.6845353
"604",45,4199248.68465217
"605",45,4199248.68458342
"606",45,4199248.68471149
"607",45,4199248.68463125
"608",45,4199248.68476797
"609",45,4199248.68468164
"610",45,4199248.68481992
"611",45,4199248.6847333
"612",45,4199248.70063723
"613",45,4199248.7006723
"614",45,4199248.70062885
"615",45,4199248.70069992
"616",45,4199248.7006758
"617",45,4199248.70072634
"618",45,4199248.70072178
"619",45,4199248.70075385
"620",45,4199248.70101089
"621",45,4199248.70104852
"622",45,4199248.70117097
"623",45,4199248.70108702
"624",45,4199248.70112024
"625",45,4199248.7011443
"626",45,4199248.70116769
"627",45,4199248.7011951
"628",45,4199248.70985586
"629",45,4199248.70980041
"630",45,4199248.70989031
"631",45,4199248.70985513
"632",45,4199248.7099237
"633",45,4199248.71022692
"634",45,4199248.71015973
"635",45,4199248.710273
"636",45,4199248.7102115
"637",45,4199248.7103797
"638",45,4199248.71026485
"639",45,4199248.72077436
"640",45,4199248.72081785
"641",45,4199248.72087042
"642",45,4199248.7207549
"643",45,4199248.72080775
"644",45,4199248.72093389
"645",45,4199248.7212376
"646",45,4199248.72115475
"647",45,4199248.72121025
"648",45,4199248.72125374
"649",45,4199248.68427144
"650",45,4199248.68419473
"651",45,4199248.68433125
"652",45,4199248.6842516
"653",45,4199248.68437771
"654",45,4199248.6843122
"655",45,4199248.68479172
"656",45,4199248.68485704
"657",45,4199248.68476215
"658",45,4199248.68490879
"659",45,4199248.7007715
"660",45,4199248.70127681
"661",45,4199248.70123474
"662",45,4199248.70132475
"663",45,4199248.70128662
"664",45,4199248.70136992
"665",45,4199248.70134478
"666",45,4199248.70141538
"667",45,4199248.70140166
"668",45,4199248.71036934
"669",45,4199248.71047575
"670",45,4199248.72089981
"671",45,4199248.72094112
"672",45,4199248.72100567
"673",45,4199248.72094526
"674",45,4199248.72107101
"675",45,4199248.72099871
"676",45,4199248.72112052
"677",45,4199248.72134445
"678",45,4199248.72147492
"679",45,4199248.72139455
"680",45,4199248.72151981
"681",45,4199248.72154626
"682",45,4199248.72158489
"683",45,4199248.7216231
"684",45,4199248.68255341
"685",45,4199248.68261754
"686",45,4199248.6826747
"687",45,4199248.68273392
"688",45,4199248.68302713
"689",45,4199248.68307475
"690",45,4199248.68312749
"691",45,4199248.684389
"692",45,4199248.68443016
"693",45,4199248.68449056
"694",45,4199248.68498483
"695",45,4199248.68492688
"696",45,4199248.68504524
"697",45,4199248.68498649
"698",45,4199248.70098523
"699",45,4199248.70102031
"700",45,4199248.70105706
"701",45,4199248.7010882
"702",45,4199248.70111384
"703",45,4199248.70139426
"704",45,4199248.7014202
"705",45,4199248.70145115
"706",45,4199248.70147778
"707",45,4199248.70164119
"708",45,4199248.70152998
"709",45,4199248.68287499
"710",45,4199248.68279484
"711",45,4199248.68292381
"712",45,4199248.68286546
"713",45,4199248.6832399
"714",45,4199248.68316202
"715",45,4199248.68329087
"716",45,4199248.68321761
"717",45,4199248.68327693
"718",45,4199248.7011383
"719",45,4199248.70116433
"720",45,4199248.70119724
"721",45,4199248.70126532
"722",45,4199248.70122995
"723",45,4199248.70113801
"724",45,4199248.70129519
"725",45,4199248.70119401
"726",45,4199248.70133488
"727",45,4199248.70125503
"728",45,4199248.70161039
"729",45,4199248.70156628
"730",45,4199248.70163636
"731",45,4199248.70162011
"732",45,4199248.70167015
"733",45,4199248.7017018
"734",45,4199248.70168073
"735",45,4199248.70173402
"736",45,4199248.7017631
"737",45,4199248.70179513
"738",45,4199248.72171143
"739",45,4199248.72175603
"740",45,4199248.72180466
"741",45,4199248.72186449
"742",45,4199248.68341095
"743",45,4199248.68347832
"744",45,4199248.68354284
"745",45,4199248.68359794
"746",45,4199248.68475708
"747",45,4199248.68481944
"748",45,4199248.68487679
"749",45,4199248.68536032
"750",45,4199248.6854103
"751",45,4199248.68545925
"752",45,4199248.68551235
"753",45,4199248.68556124
"754",45,4199248.70138165
"755",45,4199248.70143628
"756",45,4199248.70136476
"757",45,4199248.70149975
"758",45,4199248.70141595
"759",45,4199248.7014638
"760",45,4199248.70181855
"761",45,4199248.70187387
"762",45,4199248.70178635
"763",45,4199248.7019395
"764",45,4199248.7018504
"765",45,4199248.70190787
"766",45,4199248.7019733
"767",45,4199248.72170676
"768",45,4199248.72175478
"769",45,4199248.72179859
"770",45,4199248.72180295
"771",45,4199248.72184452
"772",45,4199248.72185947
"773",45,4199248.72208166
"774",45,4199248.72214634
"775",45,4199248.72219436
"776",45,4199248.72224414
"777",45,4199248.68519104
"778",45,4199248.68514015
"779",45,4199248.68525207
"780",45,4199248.68530447
"781",45,4199248.68524639
"782",45,4199248.68571081
"783",45,4199248.68581659
"784",45,4199248.68575639
"785",45,4199248.70170303
"786",45,4199248.7018453
"787",45,4199248.70216647
"788",45,4199248.68546434
"789",45,4199248.68537791
"790",45,4199248.68550678
"791",45,4199248.68543497
"792",45,4199248.68584502
"793",45,4199248.68589511
"794",45,4199248.68594441
"795",45,4199248.68599902
"796",45,4199248.68604743
"797",45,4199248.71120209
"798",45,4199248.71125613
"799",45,4199248.71131154
"800",45,4199248.71137138
"801",45,4199248.71143268
"802",45,4199248.71148093
"803",45,4199248.7115334
"804",45,4199248.71159765
"805",45,4199248.71168676
"806",45,4199248.71164432
"807",45,4199248.71173194
"808",45,4199248.71169826
"809",45,4199248.71177724
"810",45,4199248.71209559
"811",45,4199248.71203124
"812",45,4199248.71214519
"813",45,4199248.71207211
"814",45,4199248.71219629
"815",45,4199248.71211741
"816",45,4199248.71171915
"817",45,4199248.71177898
"818",45,4199248.71185502
"819",45,4199248.71183597
"820",45,4199248.71190758
"821",45,4199248.71188707
"822",45,4199248.71196015
"823",45,4199248.71228576
"824",45,4199248.71222141
"825",45,4199248.71235443
"826",45,4199248.71226376
"827",45,4199248.71241132
"828",45,4199248.71232222
"829",45,4199248.71195835
"830",45,4199248.71200795
"831",45,4199248.7120561
"832",45,4199248.71241858
"833",45,4199248.7124433
"834",45,4199248.71246698
"835",45,4199248.71248931
"836",45,4199248.71251697
"837",45,4199248.71254056
"838",45,4199248.71256244
"839",45,4199248.69065886
"840",45,4199248.69072064
"841",45,4199248.69078782
"842",45,4199248.69085438
"843",45,4199248.69083099
"844",45,4199248.69088455
